data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,96,CMET4F,020,CAEMI METAL,PN *,R$,490.0,535.0,490.0,520.67,510.0,490.02,535.0,9,10008,5210.92
20030212,02,CMET4,010,CAEMI METAL,PN *,R$,510.0,519.99,500.0,507.38,505.0,500.02,509.0,39,10820000,5489953.4
20030212,96,CLSC6F,020,CELESC,PNB     N2,R$,0.47,0.47,0.47,0.47,0.47,0.47,0.5,6,1201,564.47
20030212,02,CLSC6,010,CELESC,PNB     N2,R$,0.47,0.48,0.47,0.47,0.48,0.47,0.48,58,847000,402970.0
20030212,96,CPFG3F,020,CPFL GERACAO,ON *,R$,3.0,3.0,3.0,3.0,3.0,2.83,0.0,1,60000,180.0
20030212,02,CPFG3,010,CPFL GERACAO,ON *,R$,3.02,3.02,3.0,3.0,3.01,3.01,4.9,5,4000000,12035.0
20030212,96,CPCA4F,020,TRIKEM,PN *,R$,4.5,4.5,4.5,4.5,4.5,4.0,9.5,1,5214,23.46
20030212,02,COCE5,010,COELCE,PNA*,R$,2.81,2.9,2.8,2.8,2.9,2.61,2.8,3,3500000,9828.0
20030212,96,CNFB4F,020,CONFAB,PN,R$,3.72,3.75,3.72,3.74,3.75,3.75,3.8,2,379,1418.88
20030212,96,CPLE6F,020,COPEL,PNB*,R$,7.63,7.9,7.63,7.78,7.9,7.66,8.19,9,337040,2625.06
20030212,02,CPLE6,010,COPEL,PNB*,R$,7.7,7.91,7.65,7.78,7.71,7.71,7.85,219,378100000,2944077.0
20030212,96,CPLE3F,020,COPEL,ON *,R$,6.4,6.4,6.4,6.4,6.4,6.4,7.0,1,60000,384.0
20030212,02,CPLE3,010,COPEL,ON *,R$,6.54,6.6,6.4,6.51,6.6,6.6,6.84,10,17300000,112750.0
20030212,96,CPFP3F,020,CPFL PIRATIN,ON *,R$,16.5,16.5,16.5,16.5,16.5,16.5,0.0,1,5334,88.01
20030212,02,CSPC4,010,COSIPA,PN,R$,0.33,0.33,0.31,0.32,0.32,0.31,0.33,7,740000,243500.0
20030212,96,CSNA3F,020,SID NACIONAL,ON *,R$,64.6,66.2,64.0,65.03,64.0,64.0,65.4,43,1170451,76119.87
20030212,02,CSNA3,010,SID NACIONAL,ON *,R$,64.6,66.4,63.8,65.19,63.8,63.8,64.1,363,232900000,15184906.0
20030212,96,CRUZ3F,020,SOUZA CRUZ,ON,R$,18.2,18.72,18.0,18.24,18.72,18.45,18.72,20,361,6586.13
20030212,96,CRTP5F,020,CRT CELULAR,PNA*,R$,310.0,320.0,310.0,311.36,320.0,280.0,320.0,5,2031,632.37
20030212,96,CRTP3F,020,CRT CELULAR,ON *,R$,290.0,290.0,290.0,290.0,290.0,265.0,310.0,2,233,67.57
20030212,96,CRIV4F,020,ALFA FINANC,PN,R$,1.2,1.2,1.2,1.2,1.2,1.15,0.0,1,400,480.0
20030212,96,CTNM4F,020,COTEMINAS,PN *,R$,211.99,211.99,210.0,210.24,210.0,206.0,218.0,2,5360,1126.91
20030212,02,CTNM4,010,COTEMINAS,PN *,R$,218.0,218.0,205.0,209.97,208.11,208.11,211.0,83,20730000,4352850.3
20030212,96,CSPC4F,020,COSIPA,PN,R$,0.33,0.33,0.31,0.31,0.31,0.3,0.33,4,8000,2550.0
20030212,96,DPPI4F,020,IPIRANGA DIS,PN *,R$,18.0,18.0,18.0,18.0,18.0,18.0,0.0,2,50000,900.0
